PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is valid X (Twitter) card,X (Twitter) card attributes,X (Twitter) card values,Depth,Is indexable page,No. of all inlinks
20,https://aliimperiale.com/sexual-wellness-supplement-market-analysis-2026.html,Sexual Wellness Supplement Market Analysis 2026 | Original Research,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/desire-compatibility-calculator.html,Desire Compatibility Calculator | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/remote-work-relationships-impact-study-2026.html,Remote Work Impact on Relationships Study 2026 | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,0
20,https://aliimperiale.com/post-pandemic-dating-intimacy-study-2026.html,Post-Pandemic Dating and Intimacy Behaviors Study 2026 | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/best-sex-positive-youtube-channels-2026.html,Top 15 Sex-Positive YouTube Channels for Education & Wellness (2026) | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/sexual-confidence-workout-tool.html,Sexual Confidence Building Workout Tool | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/dirty-talk-communication-coach.html,Dirty Talk Generator & Communication Coach | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/erogenous-zone-mapping-guide.html,Interactive Erogenous Zone Mapping Guide | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/hormone-cycle-desire-calculator.html,Hormone Cycle & Desire Correlation Calculator | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/sexual-communication-difficult-conversations.html,Sexual Communication Scripts for Difficult Conversations — Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,2
20,https://aliimperiale.com/sexual-chemistry-assessment-tool.html,Advanced Sexual Chemistry Assessment & Enhancement Tool | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/ultimate-guide-oral-sex-techniques.html,Ultimate Guide to Oral Sex Techniques | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/menstrual-cycle-desire-calculator.html,Menstrual Cycle & Desire Calculator | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,2
20,https://aliimperiale.com/sexual-wellness-spending-habits-2026.html,Consumer Spending Habits on Sexual Wellness (2026) | Original Research,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/menstrual-health-sex-guide.html,Menstrual Health & Period Sex Guide — Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/sexual-positions-accessibility-guide.html,Accessible Sex Positions Guide | Adaptive Intimacy | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/first-time-readiness-checklist.html,Interactive First Time Readiness Checklist | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,0
20,https://aliimperiale.com/sexual-communication-style-assessment.html,Interactive Sexual Communication Style Assessment - Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,0
20,https://aliimperiale.com/sexual-anatomy-quiz.html,Vulva & Penis Anatomy Quiz | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/sexual-trauma-recovery-hub.html,Sexual Trauma Recovery Resource Hub — Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,2
20,https://aliimperiale.com/best-sex-positive-therapists-2026.html,Best Sex-Positive Therapists and Counselors Directory 2026 | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/sexual-boundaries-creation-guide.html,Complete Guide to Creating Sexual Boundaries | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,2
20,https://aliimperiale.com/intimacy-recovery-tracker.html,Intimacy & Recovery Tracker — Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/best-inclusive-sex-education-programs-2026.html,Best Inclusive Sex Education Programs 2026 — Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/sexual-anxiety-assessment.html,Sexual Anxiety Assessment Tool | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/pleasure-mapping-guide.html,Interactive Pleasure Mapping Guide | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/sexual-health-symptom-decoder.html,Sexual Health Symptom Decoder | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/sti-risk-assessment-calculator.html,STI Risk Assessment & Prevention Calculator | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/digital-detox-intimate-relationships-study-2026.html,Digital Detox Impact on Intimate Relationships Study 2026 | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/best-lube-brands-2026.html,Best Lube Brands 2026: The Ultimate Lubricant Comparison Guide,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/global-sexual-attitudes-study-2026.html,2026 Global Sexual Attitudes and Behaviors Study | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/sexual-fantasy-exploration-wheel.html,Sexual Fantasy Exploration Wheel | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/dirty-talk-communication-guide.html,Complete Guide to Dirty Talk & Sexual Communication — Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/partner-compatibility-assessment-guide.html,Partner Compatibility Assessment Guide | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/sexual-aftercare-complete-guide.html,The Complete Guide to Sexual Aftercare | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/sexual-recovery-milestone-tracker.html,Sexual Recovery Milestone Tracker | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/sexual-health-after-50-guide.html,The Ultimate Guide to Sexual Health After 50 | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/sexual-satisfaction-survey-2026.html,Sexual Satisfaction Survey Results 2026 | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/sexual-wellness-menstruation-guide.html,Comprehensive Guide to Sexual Wellness During Menstruation | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/social-media-body-image-sexual-confidence-study-2026.html,2026 Study: Impact of Social Media on Body Image and Sexual Confidence | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/post-pandemic-dating-behavior-study-2026.html,Post-Pandemic Dating Behavior Study 2026,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/sexual-desire-discrepancy-solutions.html,Sexual Desire Discrepancy Solution Generator — Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
20,https://aliimperiale.com/top-sexual-wellness-apps-2026.html,Top Sexual Wellness Apps and Digital Tools 2026 | Ali Imperiale,text/html; charset=utf-8,false,200,0,,,,0,true,1
