PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Title length,No. of titles,Is indexable page
38,https://aliimperiale.com/open-and-honest.html,Open & Honest — The Couples Course for Ethical Non-Monogamy | Ali Imperiale,text/html; charset=utf-8,false,200,0,0,75,1,true
21,https://aliimperiale.com/blog/getting-more-kinky-in-the-bedroom.html,How I'm Getting More Kinky in the Bedroom (And Loving It) | Ali Imperiale,text/html; charset=utf-8,false,200,0,0,73,1,true
21,https://aliimperiale.com/blog/spontaneous-vs-responsive-desire.html,Spontaneous Desire vs Responsive Desire — Why You're Not So Horny Anymore | Ali Imperiale,text/html; charset=utf-8,false,200,0,0,89,1,true
20,https://aliimperiale.com/blog/yoni-erotic-massage-intense-pleasure.html,Yoni Erotic Massage: The Secret to Intense Pleasure (My Experience!) | Ali Imperiale,text/html; charset=utf-8,false,200,0,0,84,1,true
20,https://aliimperiale.com/blog/the-secret-to-blended-orgasms.html,The Secret to Blended Orgasms (That Most Men Don't Know About) | Ali Imperiale,text/html; charset=utf-8,false,200,0,0,78,1,true
20,https://aliimperiale.com/sex-education-study-2026.html,"2026 Sex Education Study: What 1,000 Adults Wish They Had Learned | Ali Imperiale",text/html; charset=utf-8,false,200,0,0,81,1,true
20,https://aliimperiale.com/blog/my-worst-sex-injury.html,My Worst Sex Injury — Always Be Cautious In The Bedroom | Ali Imperiale,text/html; charset=utf-8,false,200,0,0,71,1,true
20,https://aliimperiale.com/blog/blowjob-pleasure-hacks-for-her.html,Blowjob Pleasure Hacks (For Her!) — 3 Tips to Make It Feel Good for Her Too | Ali Imperiale,text/html; charset=utf-8,false,200,0,0,91,1,true
20,https://aliimperiale.com/blog/cant-have-an-orgasm-how-i-figured-it-out.html,Can't Have an Orgasm? Me Neither — Until I Figured It Out | Ali Imperiale,text/html; charset=utf-8,false,200,0,0,73,1,true
20,https://aliimperiale.com/blog/stis-heres-the-truth.html,I Get Asked About STIs All the Time — So Here's the Truth | Ali Imperiale,text/html; charset=utf-8,false,200,0,0,73,1,true
20,https://aliimperiale.com/blog/dont-visit-thailand-with-your-girlfriend.html,Don't Visit Thailand With Your Girlfriend — Why Are Thai Women So Irresistible? | Ali Imperiale,text/html; charset=utf-8,false,200,0,0,95,1,true
20,https://aliimperiale.com/best-sex-positive-youtube-channels-2026.html,Top 15 Sex-Positive YouTube Channels for Education & Wellness (2026) | Ali Imperiale,text/html; charset=utf-8,false,200,0,0,84,1,true
